Nível 1 - Inglês|Nível 1 - Português|Nível 2 - Inglês|Nível 2 - Português|Nível 3 - Inglês|Nível 3 - Português
||||Supposed prenatal influence. Prenatal culture. Stirpiculture|Suposta influência pré-natal. Cultura pré-natal. Estirpicultura
||||Therapeutics|Terapêutica
||Pharmacy and materia medica|Farmácia e matéria médica||
||||Dispensatories|Dispensatórios
||||Formularies. Collected prescriptions|Formulários. Receitas coletadas
||||Pharmacognosy. Pharmaceutical substances (Plant, animal, and inorganic)|Farmacognosia. Substâncias farmacêuticas (vegetais, animais e inorgânicos)
||||Pharmacopoeias|Farmacopeias
||Public aspects of medicine|Aspectos públicos da Medicina||
||||Forensic medicine. Medical jurisprudence. Legal medicine|Medicina forense. Jurisprudência médica. Medicina legal
||||Medical centers. Hospitals. Dispensaries. Clinics|Centros médicos. Hospitais. Dispensários. Clínicas
||||Medical geography. Climatology. Meteorology|Geografia Médica. Climatologia. Meteorologia
||||Public aspects of medicine|Aspectos públicos da medicina
||||Public health. Hygiene. Preventive medicine|Saúde pública. Higiene. Medicina preventiva
||||Toxicology. Poisons|Toxicologia. Venenos
||Surgery|Cirurgia||
||||Anesthesiology|Anestesiologia
||||Asepsis and antisepsis. Sterilization (Operative)|Assepsia e antissepsia. Esterilização (cirúrgica)
||||Diseases of the locomotor system (Surgical treatment)|Doenças do aparelho locomotor (tratamento cirúrgico)
||||Emergency surgery. Wounds and injuries|Cirurgia de emergência. Feridas e ferimentos
||||Fractures (General)|Fraturas (Geral)
||||General works|Obras gerais
||||Military and naval surgery|Cirurgia militar e naval
||||Neoplasms. Tumors. Oncology|Neoplasias. Tumores. Oncologia
||||Operating rooms and theaters. Instruments, apparatus, and appliances|Salas de operação e teatros. Instrumentos, aparelhos e aparelhos
||||Operative surgery. Technique of surgical operations|Cirurgia operatória. Técnica de operações cirúrgicas
||||Orthopedic surgery|Cirurgia ortopédica
||||Plastic surgery. Reparative surgery|Cirurgia plástica. Cirurgia reparadora
||||Prosthesis. Artificial organs|Prótese. Órgãos artificiais
||||Reparative processes after operations (Physiological)|Processos reparadores após as operações (fisiológicos)
||||Surgery by region, system, or organ|Cirurgia por região, sistema ou órgão
||||Surgery in childhood, adolescence, pregnancy, old age|Cirurgia na infância, adolescência, gravidez, velhice
||||Surgical complications|Complicações cirúrgicas
||||Surgical nursing|Enfermagem cirúrgica
||||Surgical pathology|Patologia cirúrgica
||||Surgical shock. Traumatic shock|Choque cirúrgico. Choque traumático
||||Surgical therapeutics. Preoperative and postoperative care|Terapêutica cirúrgica. Cuidados pré e pós-operatórios
||||Transplantation of organs, tissues, etc.|Transplante de órgãos, tecidos, etc.
||Therapeutics Pharmacology|Farmacologia Terapêutica||
||||Administration of drugs and other therapeutic agents|Administração de medicamentos e outros agentes terapêuticos
||||Antibiotic therapy. Antibiotics|Terapia antibiótica. Antibióticos
||||Chemotherapy|Quimioterapia
||||Diet therapy. Dietary cookbooks|Terapia dietética. Livros de receitas dietéticas
||||Drug prescribing|Prescrição de medicamentos
||||Drugs and their actions|Drogas e suas ações
||||Endocrinotherapy. Organotherapy|Endocrinoterapia. Organoterapia
||||Immunotherapy. Serotherapy|Imunoterapia. Seroterapia
||||Misuse of therapeutic drugs. Medication errors|Uso indevido de drogas terapêuticas. Erros de medicação
||||Nonprescription drugs. Patent medicines|Medicamentos sem receita. Medicamentos patenteados
||||Other therapeutic procedures |Outros procedimentos terapêuticos
||||Physical medicine. Physical therapy|Medicina física. Fisioterapia
||||Prescription writing|Redação de receitas
||||Rehabilitation technology|Tecnologia de reabilitação
||||Rehabilitation therapy|Terapia de reabilitação
||||Vitamin therapy|Terapia com vitaminas
Military Science|Ciência Militar||||
||Air forces. Air warfare|Forças aéreas. Guerra aérea||
||||Aerial reconnaissance|Reconhecimento aéreo
||||Air bases|Bases aéreas
||||Air defenses|Defesas aéreas
||||Education and training|Educação e treinamento
||||Equipment and supplies|Equipamentos e suprimentos
||||Military aeronautical research|Pesquisa aeronáutica militar
||||Organization. Personnel management|Organização. Gestão de pessoal
||||Tactics|Táticas
||Armies: Organization, distribution, military situation|Exércitos: organização, distribuição, situação militar||
||||Civil defense|Defesa Civil
||||Military communication|Comunicação militar
||||Military geography|Geografia militar
||||Mobilization|Mobilização
||||Plans for attack and defense|Planos de ataque e defesa
||||Routes of travel. Distances|Rotas de viagem. Distâncias
||||War damage in industry. Industrial defense|Danos de guerra na indústria. Defesa industrial
||Artillery|Artilharia||
||||Arsenals, magazines, armories, etc.|Arsenais, revistas, arsenais, etc.
||||Artillery instruments. Fire control, etc.|Instrumentos de artilharia. Controle de fogo, etc.
||||Ballistics. Velocities and motions of projectiles|Balística. Velocidades e movimentos de projéteis
||||Field artillery|Artilharia de campanha
||||Garrison artillery|Artilharia de guarnição
||||Howitzer artillery. Mortar batteries|Artilharia de obuses. Baterias de morteiro
||||Ordnance and small arms|Artilharia e armas pequenas
||||Ordnance material (Ordnance proper)|Material de artilharia (artilharia adequada)
||||Seacoast artillery|Artilharia costeira
||||Siege artillery|Artilharia de cerco
||||Tactics. Maneuvers. Drill regulations|Táticas. Manobras. Regulamentos de treino
||||Weapons systems|Sistemas de armas
||Cavalry. Armor|Cavalaria. Armaduras||
||||Armored cavalry|Cavalaria blindada
||||Cavalry sword exercises|Exercícios de espada de cavalaria
||||Horse cavalry|Cavalaria
||||Horses|Cavalos
||||Tactics. Maneuvers. Drill regulations|Táticas. Manobras. Regulamentos de treino
||Infantry|Infantaria||
||||Airborne troops. Parachute troops|Tropas aerotransportadas. Tropas de pára-quedas
||||Airmobile operations|Operações aeromóveis
||||Bayonet drill|Broca baioneta
||||Firing. Military sharpshooting|Disparando. Tiro de precisão militar
||||Manual of arms|Manual de armas
||||Mountain troops|Tropas de montanha
||||Mounted infantry|Infantaria montada
||||Ski troops|Tropas de esqui
||||Small arms. Swords, etc.|Armas pequenas. Espadas, etc.
||||Tactics. Maneuvers. Drill regulations|Táticas. Manobras. Regulamentos de treino
||Maintenance and transportation|Manutenção e transporte||
||||Barracks. Quarters. Camps|Quartel. Trimestres. Acampamentos
||||Clothing and equipment|Roupas e equipamentos
||||Equipage. Field kits|Equipage. Kits de campo
||||Horses. Mules. Remount service|Cavalos. Mulas. Serviço de remontagem
||||Organization of the service. By region or country|Organização do serviço. Por região ou país
||||Subsistence|Subsistência
||||Supplies and stores|Suprimentos e lojas
||||Transportation|Transporte
||Military administration|Administração militar||
||||Adjutant generals' offices|Gabinetes dos generais ajudantes
||||Civilian personnel departments|Departamentos de pessoal civil
||||Compulsory service. Conscription and exemption|Serviço obrigatório. Conscrição e isenção
||||Enlistment, recruiting, etc.|Alistamento, recrutamento, etc.
||||Furloughs|Furloughs
||||Intelligence|Inteligência
||||Military pensions, etc.|Pensões militares, etc.
||||Minorities, women, etc. in armed forces|Minorias, mulheres, etc. nas forças armadas
||||Officers|Oficiais
||||Provision for veterans|Provisão para veteranos
||||Psychological warfare. Propaganda|Guerra psicológica. Propaganda
||||Records, returns, muster rolls, etc.|Registros, devoluções, rolagens de reunião, etc.
||||Retired military personnel|Militares aposentados
||||Sabotage|sabotar
||||Soldiers' and sailors' homes|Casas de soldados e marinheiros
||||Warrant officers. Noncommissioned officers|Mandatários. Suboficiais
||Military astronautics. Space warfare. Space surveillance|Astronáutica Militar. Guerra espacial. Vigilância espacial||
||Military engineering|Engenharia Militar||
||||Attack and defense. Siege warfare|Ataque e defesa. Guerra de cerco
||||Bridges|Pontes
||||Field engineering|Engenharia de Campo
||||Fortification|Fortificação
||||Land mines, etc.|Minas terrestres, etc.
||||Military electric lighting|Iluminação elétrica militar
||||Military motor vehicles|Veículos militares
||||Military signaling|Sinalização militar
||||Military surveying, topography, and mapping|Levantamento militar, topografia e mapeamento
||||Military telegraphy and telephony|Telegrafia e telefonia militar
||||Tactics and regulations|Táticas e regulamentos
||||Technical troops and other special corps|Tropas técnicas e outros corpos especiais
||||Tunnels|Túneis
||Military science (General)|Ciência Militar (Geral)||
||||Amphibious warfare|Guerra anfíbia
||||Army clubs|Clubes do exército
||||Artillery and rifle ranges|Alcance de artilharia e rifle
||||Atomic warfare. Atomic weapons|Guerra atômica. Armas atômicas
||||Commando tactics|Táticas de comando
||||Historiography|Historiografia
||||History of arms and armor|História de armas e armaduras
||||History of military science|História da ciência militar
||||Joint operations. Combined operations|Operações conjuntas. Operações combinadas
||||Logistics|Logística
||||Maneuvers (combined arms)|Manobras (braços combinados)
||||Military education and training|Educação e treinamento militar
||||Military life, manners and customs, antiquities, etc.|Vida militar, modos e costumes, antiguidades, etc.
||||Military planning|Planejamento militar
||||Physical training of soldiers|Treinamento físico de soldados
||||Strategy|Estratégia
||||Tactics|Táticas
||||War games|Jogos de guerra
||||War. Philosophy. Military sociology|Guerra. Filosofia. Sociologia militar
||Other services|Outros serviços||
||||Care of sick and wounded. Relief societies|Cuidado de enfermos e feridos. Sociedades de socorro
||||Chaplains|Capelães
||||Medical and sanitary services|Serviços médicos e sanitários
||||Military hygiene and sanitation|Higiene e saneamento militar
||||Military social work. Social welfare services|Trabalho social militar. Serviços de assistência social
||||Public relations. Press. War correspondents|Relações públicas. Pressione. Correspondentes de guerra
||||Recreation and information services|Serviços recreativos e de informação
Music and books on Music|Música e livros sobre Música||||
||Instruction and study|Instrução e estudo||
||||Administration and instruction of vocal groups|Administração e instrução de grupos vocais
||||Analysis and appreciation of musical works|Análise e apreciação de obras musicais
||||Audio-visual aids|Recursos audiovisuais
||||Community music|Música da comunidade
||||Composition. Elements and techniques of music|Composição. Elementos e técnicas de música
||||Conducting. Score reading and playing|Conduzindo. Pontuação leitura e jogo
||||Embellishment|Embelezamento
||||General works|Obras gerais
||||History|História
||||Improvisation. Accompaniment. Transposition|Improvisação. Acompanhamento. Transposição
||||Instrumental techniques|Técnicas instrumentais
||||Instrumentation and orchestration|Instrumentação e orquestração
||||Interpretation|Interpretação
||||Memorizing|Memorizando
||||Music in colleges and universities|Música em faculdades e universidades
||||Music in special education|Música na educação especial
||||Music in the theater|Musica no teatro
||||Music study abroad|Estudo de música no exterior
||||Music theory|Teoria da música
||||Music theory for children|Teoria musical para crianças
||||Music to accompany instruction in ballet, folk dancing, gymnastics, etc.|Música para acompanhar as aulas de ballet, dança folclórica, ginástica, etc.
||||Musical theater|Teatro musical
||||Notation|Notação
||||Printed pedagogical aids|Auxílios pedagógicos impressos
||||School music|Música escolar
||||Singing and vocal technique|Canto e técnica vocal
||||Systems and methods|Sistemas e métodos
||||Tuning|Tuning
||||Whistling|Assobio
||Literature on music|Literatura sobre Música||
||||Aspects of the field of music as a whole|Aspectos do campo da música como um todo
||||Bibliography|Bibliografia
||||Circulars and advertisements|Circulares e anúncios
||||Dictionaries. Encyclopedias|Dicionários. Enciclopédias
||||Directories. Almanacs|Diretórios. Almanaques
||||Festivals. Congresses|Festivais. Congressos
||||History and criticism|História e crítica
||||Institutions|Instituições
||||Librettos. Texts. Scenarios|Libretos. Texto:% s. Cenários
||||Literature for children|Literatura para crianças
||||Manuscript studies and manuscripts|Estudos de manuscritos e manuscritos
||||Music as a profession. Vocational guidance|A música como profissão. Orientação vocacional
||||Music librarianship|Biblioteconomia musical
||||Music printing and publishing|Impressão e publicação de música
||||Music trade|Comércio de música
||||Musical research|Pesquisa musical
||||Periodicals. Serials|Publicações periódicas. Serials
||||Philosophical and societal aspects of music. Physics and acoustics of music. Physiological aspects of music|Aspectos filosóficos e sociais da música. Física e acústica da música. Aspectos fisiológicos da música
||||Programs|Programas
||||Scrapbooks|Álbuns de recortes
||||Societies and other organizations|Sociedades e outras organizações
||||Special collections|Coleções especiais
||Music|Música||
||||Collections|Coleções
||||Instrumental music|Música instrumental
||||Music printed or copied in manuscript before 1700|Música impressa ou copiada em manuscrito antes de 1700
||||Music printed or copied in manuscript in the United States or the|Música impressa ou copiada em manuscrito nos Estados Unidos ou no
||||Unidentified compositions|Composições não identificadas
||||Vocal music|Música vocal
Naval Science|Ciência Naval||||
||Marines|Fuzileiros navais||
||||Barracks, quarters, etc.|Quartéis, aposentos, etc.
||||Drill regulations|Regulamentos de treino
||||Shooting|Tiroteio
||||Small arms|Armas pequenas
||||Training camps|Campos de treinamento
||Minor services of navies|Serviços menores de marinhas||
||||Chaplains|Capelães
||||Coast guard and coast signal service|Guarda costeira e serviço de sinalização costeira
||||Medical service|Serviço médico
||||Naval aviation|Aviação naval
||||Naval communication by telegraphy, telephone, etc.|Comunicação naval por telegrafia, telefone, etc.
||||Public relations. Press. War correspondents|Relações públicas. Pressione. Correspondentes de guerra
||||Recreation and information service|Serviço de recreação e informação
||||Social work. Social welfare services|Trabalho social. Serviços de assistência social
||Naval administration|Administração naval||
||||Civil department|Departamento civil
||||Enlisted personnel|Pessoal alistado
||||Minorities, women, etc. in navies|Minorias, mulheres, etc. nas marinhas
||||Officers|Oficiais
||||Warrant officers|Mandatários
||Naval architecture. Shipbuilding. Marine engineering|Arquitetura Naval. Construção Naval. Engenharia Naval||
||||Contracts and specifications|Contratos e especificações
||||History|História
||||Marine engineering|Engenharia Naval
||||Shipbuilding industry. Shipyards|Indústria de construção naval. Estaleiros
||||Special types of vessels|Tipos especiais de embarcações
||||Study and teaching|Estudar e ensinar
||Naval maintenance|Manutenção naval||
||||Clothing and equipment|Roupas e equipamentos
||||Equipment of vessels, supplies, allowances, etc.|Equipamentos de embarcações, suprimentos, subsídios, etc.
||||Navy yards and stations. Shore facilities|Estaleiros e estações da Marinha. Instalações em terra
||||Organization of service|Organização do serviço
||||Subsistence. Provisioning|Subsistência. Provisionamento
||||Supplies and stores|Suprimentos e lojas
||Naval ordnance|Artilharia naval||
||||Naval weapons systems|Sistemas de armas navais
||||Ordnance and arms (General)|Armas e Armas (Geral)
||||Ordnance instructions and drill books|Instruções de artilharia e livros de perfuração
||||Ordnance material (Ordnance proper)|Material de artilharia (artilharia adequada)
||||Target practice|Prática de alvo
||Naval science (General)|Ciência Naval (Geral)||
||||Automation in the naval sciences|Automação nas ciências navais
||||Coast defense|Defesa costeira
||||History and antiquities of naval science|História e antiguidades da ciência naval
||||Military oceanography|Oceanografia militar
||||Naval education|Educação naval
||||Naval life, manners and customs, antiquities, etc.|Vida naval, modos e costumes, antiguidades, etc.
||||Naval research|Pesquisa naval
||||Navy clubs|Clubes da marinha
||||Strategy|Estratégia
||||Submarine warfare|Guerra submarina
||||Tactics|Táticas
||||War vessels: Construction, armament, etc.|Embarcações de guerra: construção, armamento, etc.
||Naval seamen|Marinheiros navais||
||||Drill regulations|Regulamentos de treino
||||Shooting|Tiroteio
||||Small arms|Armas pequenas
||||Small boat service|Serviço de barco pequeno
||Navies: Organization, distribution, naval situation|Marinhas: organização, distribuição, situação naval||
||Navigation. Merchant marine|Navegação. Comerciante Marinho||
||||Harbors. Ports|Portos. Portos
||||History, conditions, etc.|História, condições, etc.
||||Icebreaking operations|Operações quebra-gelo
||||Lighthouse service|Farol de serviço
||||Marine hydrography. Hydrographic surveying|Hidrografia marinha. Levantamento hidrográfico
||||Nautical instruments|Instrumentos náuticos
||||Pilots and pilotage|Pilotos e pilotagem
||||Sailing directions. Pilot guides|Direções de navegação. Guias piloto
||||Saving of life and property|Salvando vidas e propriedades
||||Science of navigation|Ciência da navegação
||||Shipwrecks and fires|Naufrágios e incêndios
||||Signaling|Sinalização
||||Study and teaching|Estudar e ensinar
||||Tide and current tables|Marés e tabelas atuais
Philosophy. Psychology. Religion|Filosofia. Psicologia. Religião||||
||Aesthetics|Estética||
||||History|História
||||Special topics|Tópicos especiais
||Buddhism|Budismo||
||||Antiquities. Archaeology|Antiguidades. Arqueologia
||||Biography|Biografia
||||Buddhist literature|Literatura budista
||||Buddhist pantheon|Panteão budista
||||Congresses. Conferences (General)|Congressos. Conferências (Geral)
||||Dictionaries (General)|Dicionários (geral)
||||Directories (General)|Diretórios (Geral)
||||Doctrinal and systematic Buddhism|Budismo doutrinário e sistemático
||||Encyclopedias (General)|Enciclopédias (Geral)
||||Financial institutions. Trusts|Instituições financeiras. Trusts
||||General collections. Collected works|Coleções gerais. Trabalhos coletados
||||General works|Obras gerais
||||History|História
||||Museums. Exhibitions|Museus. Exposições
||||Periodicals. Yearbooks (General)|Publicações periódicas. Anuários (geral)
||||Persecutions|Perseguições
||||Practice of Buddhism. Forms of worship|Prática do Budismo. Formas de adoração
||||Questions and answers. Maxims (General)|Perguntas e respostas. Máximas (geral)
||||Relation to other religious and philosophical systems|Relação com outros sistemas religiosos e filosóficos
||||Religious education (General)|Educação religiosa (geral)
||||Research|Pesquisa
||||Societies, councils, associations, clubs, etc.|Sociedades, conselhos, associações, clubes, etc.
||||Terminology|Terminologia
||||Tripit. aka (Canonical literature)|Tripit. aka (literatura canônica)
||Christian Denominations|Denominações cristãs||
||||Catholic Church|Igreja Católica
||||Church unity. Ecumenical movement. Interdenominational cooperation|Unidade da igreja. Movimento ecumênico. Cooperação interdenominacional
||||Eastern churches. Oriental churches|Igrejas orientais. Igrejas orientais
||||Orthodox Eastern Church|Igreja Ortodoxa Oriental
||||Protestantism|protestantismo
||Christianity|Cristandade||
||||Biography|Biografia
||||Christian antiquities. Archaeology. Museums|Antiguidades cristãs. Arqueologia. Museus
||||Christianity in relation to special subjects|Cristianismo em relação a assuntos especiais
||||Dissent|Dissidência
||||Early Christian literature. Fathers of the Church, etc.|Literatura cristã primitiva. Padres da Igreja, etc.
||||History|História
||||Liberalism|Liberalismo
||||Persecution. Martyrs|Perseguição. Mártires
||||Sacrilege (History)|Sacrilégio (História)
||||Tolerance and toleration|Tolerância e tolerância
||Doctrinal Theology|Teologia doutrinária||
||||Apologetics. Evidences of Christianity|Apologética. Evidências do Cristianismo
||||Catechisms|Catecismos
||||Christology|Cristologia
||||Creation|Criação
||||Creeds, confessions, covenants, etc.|Credos, confissões, convênios, etc.
||||Divine law. Moral government|Lei divina. Governo moral
||||Doctrine and dogma|Doutrina e dogma
||||Eschatology. Last things|Escatologia. Últimas coisas
||||Future state. Future life|Estado futuro. Vida futura
||||God|Deus
||||History of specific doctrines and movements. Heresies and schisms|História de doutrinas e movimentos específicos. Heresias e cismas
||||Invisible world (saints, demons, etc.)|Mundo invisível (santos, demônios, etc.)
||||Judaism|judaísmo
||||Mary, Mother of Jesus Christ. Mariology|Maria, Mãe de Jesus Cristo. Mariologia
||||Salvation. Soteriology|Salvação. Soteriologia
||Ethics|Ética||
||||Communist ethics|Ética comunista
||||Evolutionary and genetic ethics|Ética evolutiva e genética
||||Feminist ethics|Ética feminista
||||History and general works|História e obras gerais
||||Individual ethics. Character. Virtue|Ética individual. Personagem. Virtude
||||Positivist ethics|Ética positivista
||||Religious ethics|Ética religiosa
||||Socialist ethics|Ética socialista
||||Totalitarian ethics|Ética totalitária
||Islam. Bahai Faith. Theosophy, etc.|Islamismo. Bahai Faith. Teosofia, etc.||
||||Anthroposophy|Antroposofia
||||Bahai Faith|Bahai Faith
||||Islam|islamismo
||||Other beliefs and movements|Outras crenças e movimentos
||||Theosophy|Teosofia
||Judaism|Judaísmo||
||||Apologetics|Apologética
||||Biography|Biografia
||||Controversial works against the Jews|Obras polêmicas contra os judeus
||||Dogmatic Judaism|Judaísmo Dogmático
||||General|Geral
||||Heresy, heresies|Heresia, heresias
||||Jewish works against Christianity and Islam|Judeu trabalha contra o Cristianismo e o Islã
||||Practical Judaism|Judaísmo prático
||||Pre-Talmudic Jewish literature (non-Biblical)|Literatura judaica pré-talmúdica (não bíblica)
||||Principles of Judaism (General)|Princípios do Judaísmo (Geral)
||||Relation of Judaism to special subject fields|Relação do Judaísmo com áreas de estudo especiais
||||Samaritans|Samaritanos
||||Sources of Jewish religion. Rabbinical literature|Fontes da religião judaica. Literatura rabínica
||Logic|Lógica||
||||General works|Obras gerais
||||History|História
||||Special topics|Tópicos especiais
||Occult sciences|Ciências ocultas||
||||Astrology|Astrologia
||||Demonology. Satanism. Possession|Demonologia. Satanismo. Posse
||||Fortune-telling|Adivinhação
||||Ghosts. Apparitions. Hauntings|Fantasmas. Aparições. Hauntings
||||Human-alien encounters. Contact between humans and extraterrestrials|Encontros humano-alienígenas. Contato entre humanos e extraterrestres
||||Magic. Hermetics. Necromancy|Magia. Hermetics. Necromancia
||||Oracles. Sibyls. Divinations|Oráculos. Sibilas. Adivinhações
||||Seers. Prophets. Prophecies|Videntes. Profetas. Profecias
||||Witchcraft|Feitiçaria
||Parapsychology|Parapsicologia||
||||Hallucinations. Sleep. Dreaming. Visions|Alucinações. Dormir. Sonhando. Visões
||||Hypnotism. Suggestion. Mesmerism. Subliminal projection|Hipnotismo. Sugestão. Mesmerismo. Projeção subliminar
||||Psychic research. Psychology of the conscious|Pesquisa psíquica. Psicologia do consciente
||||Spiritualism|Espiritualismo
||||Telepathy. Mind reading. Thought transference|Telepatia. Leitura de mente. Transferência de pensamento
||Philosophy (General)|Filosofia (Geral)||
||||General works|Obras gerais
||Practical Theology|Teologia prática||
||||Ecclesiastical theology|Teologia eclesiástica
||||Evangelism. Revivals|Evangelismo. Avivamentos
||||Missions|Missões
||||Pastoral theology|Teologia pastoral
||||Practical religion. The Christian life|Religião prática. A vida cristã
||||Worship (Public and private)|Adoração (pública e privada)
||Psychology|Psicologia||
||||Affection. Feeling. Emotion|Afeição. Sentindo-me. Emoção
||||Applied psychology|Psicologia aplicada
||||Class psychology|Psicologia de classe
||||Comparative psychology. Animal and human psychology|Psicologia comparada. Psicologia animal e humana
||||Consciousness. Cognition|Consciência. Conhecimento
||||Developmental psychology|Psicologia do desenvolvimento
||||Differential psychology. Individuality. Self|Psicologia diferencial. Individualidade. Auto
||||Experimental psychology|Psicologia experimental
||||Genetic psychology|Psicologia genética
||||Gestalt psychology|Psicologia gestáltica
||||Graphology. Study of handwriting|Grafologia. Estudo de caligrafia
||||Motivation|Motivação
||||New Thought. Menticulture, etc.|Novo Pensamento. Menticultura, etc.
||||Personality|Personalidade
||||Philosophy. Relation to other topics|Filosofia. Relação com outros tópicos
||||Physiognomy. Phrenology|Fisionomia. Frenologia
||||Psychoanalysis|Psicanálise
||||Psychological tests and testing|Testes e testes psicológicos
||||Psychology of sex. Sexual behavior|Psicologia do sexo. Comportamento sexual
||||Psychotropic drugs and other substances|Drogas psicotrópicas e outras substâncias
||||Sensation. Aesthesiology|Sensação. Estesiologia
||||Temperament. Character|Temperamento. Personagem
||||The hand. Palmistry|A mão. Quiromancia
||||Will. Volition. Choice. Control|Vai. Vontade. Escolha. Ao controle
||Religions. Mythology. Rationalism|Religiões. Mitologia. Racionalismo||
||||Biography|Biografia
||||Classification of religions|Classificação das religiões
||||Eschatology|Escatologia
||||History and principles of religions|História e princípios das religiões
||||Natural theology|Teologia natural
||||Philosophy of religion. Psychology of religion. Religion in relation to other subjects|Filosofia da religião. Psicologia da religião. Religião em relação a outros assuntos
||||Rationalism|Racionalismo
||||Religion (General)|Religião (Geral)
||||Religions in relation to one another|Religiões em relação umas às outras
||||Religions of the world|Religiões do mundo
||||Religious doctrines (General)|Doutrinas religiosas (geral)
||||Religious life|Vida religiosa
||||Religious organization|Organização religiosa
||||Sacred books (General)|Livros sagrados (geral)
||||The myth. Comparative mythology|O mito. Mitologia comparativa
||||The soul|A alma
||||Unity and plurality|Unidade e pluralidade
||||Worship. Cultus|Adoração. Cultus
||Social usages. Etiquette|Usos sociais. Etiqueta||
||||Etiquette of entertaining|Etiqueta de entretenimento
||||Etiquette of travel|Etiqueta de viagem
||||Telephone etiquette|Etiqueta de telefone
||Speculative philosophy|Filosofia especulativa||
||||Cosmology|Cosmologia
||||Epistemology. Theory of knowledge|Epistemologia. Teoria do conhecimento
||||General philosophical works|Obras filosóficas gerais
||||Metaphysics|Metafísica
||||Methodology|Metodologia
||||Ontology|Ontologia
||The Bible|Bíblia||
||||Early versions|Primeiras versões
||||Modern texts and versions|Textos e versões modernas
||||New Testament|Novo Testamento
||||Old Testament|Antigo Testamento
||||Works about the Bible|Obras sobre a Bíblia
Political Science|Ciência Política||||
||Colonies and colonization. Emigration and immigration. International migration|Colônias e colonização. Emigração e imigração. Migração internacional||
||||Colonies and colonization|Colônias e colonização
||||Emigration and immigration. International|Emigração e imigração. Internacional
||General legislative and executive papers|Documentos legislativos e executivos gerais||
||||Gazettes|Gazetas
||||Other regions and countries|Outras regiões e países
||||United States|Estados Unidos
||International law|Lei internacional||
||||Codification of international law|Codificação do Direito Internacional
||||Collections, cases, etc. By country|Coleções, caixas, etc. Por país
||||Collections. Documents. Cases|Coleções. Documentos. Casos
||||Diplomacy|Diplomacia
||||Foreign relations|Relações Estrangeiras
||||International arbitration, organization, etc.|Arbitragem internacional, organização, etc.
||||International law|Lei internacional
||International relations|Relações Internacionais||
||||Humanitarian aspects of war|Aspectos humanitários da guerra
||||International organizations and associations|Organizações e associações internacionais
||||Neutrality. Non-participation in wars. Norms of neutrality|Neutralidade. Não participação em guerras. Normas de neutralidade
||||Non-military coercion|Coerção não militar
||||Periodicals|Periódicos
||||Promotion of peace. Peaceful change|Promoção da paz. Mudança pacífica
||||Relation to other disciplines and topics|Relação com outras disciplinas e tópicos
||||Scope of international relations. Political theory.|Âmbito das relações internacionais. Teoria política.
||||Societies, associations, academies, institutes, etc.,for the study of international relations|Sociedades, associações, academias, institutos, etc., para o estudo das relações internacionais
||||Sources|Fontes
||||State territory and its parts|Território do estado e suas partes
||||The armed conflict. War and order|O conflito armado. Guerra e ordem
||Local government. Municipal government|Governo local. Governo municipal||
||||Africa|África
||||Asia|Ásia
||||Atlantic Ocean islands|Ilhas do oceano atlântico
||||Australia. New Zealand. Pacific Ocean islands|Austrália. Nova Zelândia. Ilhas do oceano pacífico
||||Canada|Canadá
||||Central America|América Central
||||Elections. Local elections. Municipal elections|Eleições. Eleições locais. Eleições municipais
||||Europe|Europa
||||Executive branch. Mayor|Poder Executivo. prefeito
||||History|História
||||Indian Ocean islands|Ilhas do oceano índico
||||Legislative branch|Poder Legislativo
||||Local government other than municipal|Governo local diferente do municipal
||||Mexico|México
||||South America|América do Sul
||||United States|Estados Unidos
||||West Indies. Caribbean Area|Índias Ocidentais. Área caribenha
||Political institutions and public administration|Instituições políticas e administração pública||
||||General. Comparative government|Geral. Governo comparativo
||||Public administration|Administração pública
||Political institutions and public administration (Asia, Africa, Australia, Pacific Area, etc.)|Instituições políticas e administração pública (Ásia, África, Austrália, Área do Pacífico, etc.)||
||||Africa|África
||||Asia|Ásia
||||Atlantic Ocean islands|Ilhas do oceano atlântico
||||Australia. New Zealand. Pacific Ocean islands|Austrália. Nova Zelândia. Ilhas do oceano pacífico
||Political institutions and public administration (Canada, Latin America, etc.)|Instituições políticas e administração pública (Canadá, América Latina, etc.)||
||||Canada|Canadá
||||Central America|América Central
||||Mexico|México
||||South America|América do Sul
||||West Indies. Caribbean Area|Índias Ocidentais. Área caribenha
||Political institutions and public administration (Europe)|Instituições políticas e administração pública (Europa)||
||||Austria-Hungary. Austria. Hungary|Áustria-Hungria. Áustria. Hungria
||||Balkan States|Estados dos Balcãs
||||Belarus|Bielo-Rússia
||||Belgium|Bélgica
||||Czech Republic. Czechoslovakia|República Checa. Checoslováquia
||||Denmark|Dinamarca
||||Estonia|Estônia
||||Finland|Finlândia
||||France|França
||||General|Geral
||||Germany|Alemanha
||||Great Britain|Grã Bretanha
||||Greece|Grécia
||||Greenland|Groenlândia
||||Iceland|Islândia
||||Ireland|Irlanda
||||Italy|Itália
||||Latvia|Letônia
||||Lithuania|Lituânia
||||Moldova|Moldova
||||Netherlands|Países Baixos
||||Norway|Noruega
||||Poland|Polônia
||||Portugal|Portugal
||||Russia (Federation)|Rússia (Federação)
||||Scandinavia. Northern Europe|Escandinávia. Norte da Europa
||||Slovakia|Eslováquia
||||Soviet Union. Russia. Former Soviet Republics|União Soviética. Rússia. Ex-repúblicas soviéticas
